,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",2200,0.038061,200.0,11,-1224.634815,-1633.46679,-739.713681,293.073728
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",4400,0.038049,200.0,11,-1481.757329,-1722.140137,-1236.958311,157.076792
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",6600,0.039726,200.0,11,-1413.170541,-1741.476777,-879.165516,299.420464
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",8800,0.039522,200.0,11,-1140.012269,-1435.819448,-752.174897,228.335275
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",11000,0.038441,200.0,11,-1176.731562,-1869.347056,-860.394069,274.786215
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",13200,0.036388,200.0,11,-1092.162251,-1772.458861,-750.408131,303.80355
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",15400,0.037766,200.0,11,-1362.319609,-1783.549877,-758.509818,370.53792
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",17600,0.036469,200.0,11,-1274.538863,-1681.561119,-860.71356,270.864374
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",19800,0.039198,200.0,11,-1152.201675,-1776.634521,-865.668759,264.213286
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",22000,0.037838,200.0,11,-1253.695142,-1594.924693,-991.79857,217.625684
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",24200,0.041273,200.0,11,-1222.358346,-1789.748184,-862.598726,293.500566
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",26400,0.039407,200.0,11,-1294.703466,-1842.68415,-1039.391484,262.090852
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",28600,0.037748,200.0,11,-1349.6044,-1804.239405,-916.638582,306.707543
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",30800,0.039639,200.0,11,-1187.25465,-1822.949247,-978.324626,223.868104
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",33000,0.04085,200.0,11,-1249.659259,-1572.150381,-1035.650916,209.634804
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",35200,0.039653,200.0,11,-1204.987478,-1834.638628,-949.082182,246.598529
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",37400,0.04003,200.0,11,-1280.14248,-1780.208688,-1067.815684,220.803001
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",39600,0.038914,200.0,11,-1246.09885,-1526.448304,-1075.656391,128.49868
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",41800,0.038417,200.0,11,-1345.437142,-1560.007353,-1122.196528,153.63728
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",44000,0.042038,200.0,11,-1351.218643,-1566.825026,-1132.327606,110.83696
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",46200,0.038909,200.0,11,-1295.576909,-1556.741857,-1063.687957,115.510435
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",48400,0.041013,200.0,11,-1275.055236,-1570.23042,-1107.030438,119.588697
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",50600,0.037397,200.0,11,-1300.291695,-1557.434849,-1191.037048,109.510934
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",52800,0.037061,200.0,11,-1332.365834,-1660.227265,-1059.598305,181.072262
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",55000,0.039497,200.0,11,-1210.218651,-1426.664983,-1045.766882,96.895289
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",57200,0.037622,200.0,11,-1306.760179,-1638.52261,-1076.427022,179.92861
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",59400,0.037863,200.0,11,-1291.282469,-1567.870651,-1073.558164,171.841169
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",61600,0.037285,200.0,11,-1306.656851,-1449.712587,-1191.596354,87.76467
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",63800,0.039172,200.0,11,-1372.095345,-1708.761179,-1094.196519,164.997946
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",66000,0.03813,200.0,11,-1322.657072,-1539.201444,-1088.470437,109.829802
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",68200,0.040073,200.0,11,-1335.642692,-1791.245451,-1150.278108,191.053229
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",70400,0.03913,200.0,11,-1297.196753,-1551.991343,-1128.597709,109.026629
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",72600,0.039895,200.0,11,-1320.422419,-1708.412123,-1165.636039,145.137021
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",74800,0.039153,200.0,11,-1265.915476,-1496.878825,-1168.370717,108.900188
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",77000,0.039249,200.0,11,-1286.841405,-1710.433611,-1084.952297,153.757495
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",79200,0.039992,200.0,11,-1373.688075,-1860.901891,-1061.22269,199.902607
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",81400,0.036981,200.0,11,-1375.000619,-1854.392438,-1024.149447,258.787193
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",83600,0.036886,200.0,11,-1376.398241,-1701.200174,-1060.01905,223.60867
