,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",2200,0.200926,200.0,11,-1224.634815,-1633.46679,-739.713681,293.073728
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",4400,0.070749,200.0,11,-1441.58307,-1705.994783,-1175.832823,171.56261
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",6600,0.05982,200.0,11,-1365.479774,-1711.787212,-891.640557,304.163886
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",8800,0.048798,200.0,11,-1038.005994,-1311.711244,-787.754517,170.839371
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",11000,0.047766,200.0,11,-1092.722735,-1866.059439,-756.535435,279.626146
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",13200,0.047659,200.0,11,-1121.539449,-1745.19701,-879.244014,238.600607
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",15400,0.052691,200.0,11,-1352.235598,-1760.571001,-889.13625,334.843413
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",17600,0.049313,200.0,11,-1190.579659,-1653.356614,-734.265363,300.80297
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",19800,0.048274,200.0,11,-1115.17762,-1714.282188,-897.717799,242.883439
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",22000,0.048046,200.0,11,-1188.908039,-1537.50233,-786.519612,246.123919
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",24200,0.05212,200.0,11,-1202.385447,-1749.395019,-959.201866,278.200167
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",26400,0.050205,200.0,11,-1225.924792,-1843.886194,-911.275398,294.038398
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",28600,0.047782,200.0,11,-1294.292773,-1771.460211,-815.065792,328.676651
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",30800,0.048965,200.0,11,-1121.062888,-1777.378959,-895.108051,238.867973
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",33000,0.051359,200.0,11,-1198.213465,-1559.232447,-878.391036,241.010304
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",35200,0.051477,200.0,11,-1161.620345,-1820.078991,-963.019569,248.916991
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",37400,0.048322,200.0,11,-1145.083226,-1803.985063,-883.271877,297.366686
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",39600,0.04727,200.0,11,-1138.080659,-1493.665149,-872.963992,167.898069
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",41800,0.050025,200.0,11,-1260.358386,-1568.857417,-1020.040217,213.153304
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",44000,0.053483,200.0,11,-1160.567613,-1520.992635,-760.368852,215.410589
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",46200,0.047507,200.0,11,-1192.321122,-1500.340866,-910.617273,165.298006
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",48400,0.048361,200.0,11,-1173.835536,-1515.741418,-914.445183,179.10279
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",50600,0.048756,200.0,11,-1156.792409,-1505.101153,-747.292749,202.958052
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",52800,0.053825,200.0,11,-1240.752939,-1643.694926,-970.016268,243.437014
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",55000,0.047925,200.0,11,-1014.559454,-1389.156946,-872.943359,134.362255
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",57200,0.047873,200.0,11,-1183.589326,-1632.6613,-936.564758,247.386105
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",59400,0.047553,200.0,11,-1160.854588,-1578.299715,-802.049038,269.732625
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",61600,0.054146,200.0,11,-1102.463056,-1467.05504,-904.126815,186.132923
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",63800,0.04836,200.0,11,-1302.782467,-1679.290707,-1027.668427,202.233402
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",66000,0.047882,200.0,11,-1117.701841,-1532.485498,-904.87668,193.084225
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",68200,0.04785,200.0,11,-1169.059348,-1746.97155,-898.631871,255.510165
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",70400,0.053683,200.0,11,-1085.309339,-1501.01532,-876.418293,175.193417
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",72600,0.048482,200.0,11,-1098.768602,-1644.503736,-886.71523,206.428597
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",74800,0.047894,200.0,11,-1139.695696,-1467.183454,-860.045746,162.456557
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",77000,0.047933,200.0,11,-1115.730992,-1577.1756,-924.625186,171.720114
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",79200,0.052054,200.0,11,-1172.946297,-1791.044784,-871.374008,257.54375
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",81400,0.05022,200.0,11,-1228.843916,-1788.118063,-898.415255,297.589153
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",83600,0.047996,200.0,11,-1270.308728,-1603.669083,-882.937006,229.146782
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",85800,0.047677,200.0,11,-1103.611223,-1603.804704,-830.950519,211.038411
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",88000,0.051651,200.0,11,-1224.679343,-1738.128653,-895.574902,281.598249
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",90200,0.051325,200.0,11,-1335.471368,-1705.903237,-1019.29262,232.916054
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",92400,0.047473,200.0,11,-1165.236379,-1360.688123,-1037.739663,102.583219
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",94600,0.048327,200.0,11,-1158.298214,-1398.436812,-1021.738585,109.940286
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",96800,0.055264,200.0,11,-1151.925242,-1269.250397,-1102.923493,52.919967
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",99000,0.052595,200.0,11,-1151.461807,-1531.663724,-1018.089795,182.625272
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",101200,0.047862,200.0,11,-1109.142222,-1207.6964,-1046.272046,54.952605
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",103400,0.047868,200.0,11,-1163.554651,-1606.161753,-916.545861,235.060298
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",105600,0.049207,200.0,11,-1114.304492,-1448.764861,-964.493773,162.415181
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",107800,0.053323,200.0,11,-1038.246042,-1242.849726,-769.953939,140.913593
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",110000,0.047959,200.0,11,-1116.378804,-1469.194159,-903.265701,197.87142
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",112200,0.048118,200.0,11,-1035.712629,-1317.741839,-778.894782,139.512511
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",114400,0.048225,200.0,11,-1056.783895,-1644.892865,-873.992132,203.330074
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",116600,0.053914,200.0,11,-1049.557108,-1652.088142,-766.078775,219.323459
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",118800,0.047421,200.0,11,-1037.316122,-1299.781311,-896.742194,133.158727
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",121000,0.047846,200.0,11,-1030.412837,-1327.508663,-780.673367,149.619048
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",123200,0.047478,200.0,11,-1058.087216,-1472.153003,-759.878357,188.029713
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",125400,0.054503,200.0,11,-1092.007492,-1555.509945,-892.819389,201.113626
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",127600,0.048513,200.0,11,-1081.071393,-1504.80797,-780.030109,201.773902
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",129800,0.047755,200.0,11,-1087.647549,-1441.28572,-886.819132,156.493937
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",132000,0.048168,200.0,11,-1178.196984,-1590.443095,-767.868383,234.155505
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",134200,0.054018,200.0,11,-1045.874721,-1400.63628,-879.642685,158.894092
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",136400,0.04837,200.0,11,-992.483432,-1590.511713,-763.362701,214.934048
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",138600,0.047466,200.0,11,-1035.976314,-1550.65252,-752.171916,244.23796
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",140800,0.047547,200.0,11,-985.991295,-1440.727744,-666.970742,196.740691
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",143000,0.05233,200.0,11,-1063.11047,-1435.551511,-784.931524,213.507557
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",145200,0.049219,200.0,11,-1039.126316,-1447.357401,-629.131025,240.558112
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",147400,0.048107,200.0,11,-1072.104263,-1596.121425,-630.409327,246.274097
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",149600,0.047453,200.0,11,-1144.945537,-1666.987306,-864.759528,265.043398
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",151800,0.051904,200.0,11,-1122.689347,-1763.804904,-764.949188,322.617301
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",154000,0.051425,200.0,11,-1053.811388,-1375.824853,-800.640714,213.913936
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",156200,0.047734,200.0,11,-1025.380224,-1482.92262,-721.937285,226.307898
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",158400,0.048206,200.0,11,-1002.409845,-1242.935623,-834.243306,124.153272
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",160600,0.050537,200.0,11,-893.468503,-1101.081235,-731.862283,112.59138
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",162800,0.052776,200.0,11,-1046.809831,-1447.806829,-892.076049,149.441828
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",165000,0.048056,200.0,11,-1031.343869,-1577.964605,-821.666734,192.436094
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",167200,0.047399,200.0,11,-1036.340683,-1246.787248,-841.514449,121.146111
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",169400,0.053858,200.0,11,-967.163592,-1203.321754,-864.749821,92.615358
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",171600,0.053259,200.0,11,-1007.880212,-1522.566113,-805.828247,220.750742
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",173800,0.047993,200.0,11,-970.94896,-1223.914914,-745.83791,141.542322
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",176000,0.047771,200.0,11,-1070.42054,-1560.129586,-790.303599,229.710339
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",178200,0.048737,200.0,11,-1037.932572,-1478.304806,-771.779229,213.297575
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",180400,0.053964,200.0,11,-955.683302,-1358.619978,-726.116212,165.304852
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",182600,0.047348,200.0,11,-1044.511859,-1518.988462,-812.139224,272.623882
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",184800,0.047594,200.0,11,-1083.60369,-1345.036559,-747.491162,196.728742
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",187000,0.048212,200.0,11,-987.606388,-1390.164187,-745.782987,181.203319
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret)",189200,0.053806,200.0,11,-1062.631205,-1535.006752,-809.784688,206.951456
