,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",2200,0.038263,200.0,11,-1224.634815,-1633.46679,-739.713681,293.073728
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",4400,0.039045,200.0,11,-1481.718371,-1722.126366,-1236.867321,157.095429
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",6600,0.040995,200.0,11,-1415.86583,-1742.316725,-879.144922,296.744742
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",8800,0.037565,200.0,11,-1141.947713,-1441.400212,-656.717505,237.029439
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",11000,0.038244,200.0,11,-1173.422227,-1870.49742,-744.457997,300.878009
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",13200,0.03869,200.0,11,-1142.151792,-1782.675143,-780.331372,289.969977
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",15400,0.037081,200.0,11,-1430.309949,-1800.760856,-882.33666,328.984343
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",17600,0.037711,200.0,11,-1338.016416,-1706.996712,-966.321888,262.722338
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",19800,0.039472,200.0,11,-1251.891544,-1804.245326,-851.522019,261.07375
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",22000,0.03591,200.0,11,-1322.589616,-1662.833992,-778.025693,266.626294
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",24200,0.036298,200.0,11,-1349.744981,-1825.044657,-972.534336,249.667486
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",26400,0.035982,200.0,11,-1340.716309,-1867.740809,-852.176472,314.465683
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",28600,0.036868,200.0,11,-1445.703521,-1826.223397,-1064.538479,283.196074
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",30800,0.03876,200.0,11,-1202.894484,-1857.415174,-916.660267,254.380522
0,"exp_name: Pendulum-v1_2023-01-13 (seperate network, TD actor-critic advantage, no normalization)",33000,0.039994,200.0,11,-1263.268224,-1668.585732,-934.471829,280.295582
