,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,exp_name: hover-aviary-v0_2023-01-20,2048,0.000496,1.0,2048,-0.787656,-0.787693,-0.787619,1.1e-05,0
1,exp_name: hover-aviary-v0_2023-01-20,4096,0.000485,1.0,2048,-0.787655,-0.787689,-0.787614,1.1e-05,1
2,exp_name: hover-aviary-v0_2023-01-20,6144,0.000437,1.0,2048,-0.787655,-0.787688,-0.787624,1e-05,2
3,exp_name: hover-aviary-v0_2023-01-20,8192,0.00046,1.0,2048,-0.787655,-0.787689,-0.787618,1.1e-05,3
4,exp_name: hover-aviary-v0_2023-01-20,10240,0.000443,1.0,2048,-0.787655,-0.787692,-0.787614,1.1e-05,4
0,exp_name: hover-aviary-v0_2023-01-20,12288,0.000453,1.0,2048,-0.787654,-0.78769,-0.787616,1.1e-05,5
1,exp_name: hover-aviary-v0_2023-01-20,14336,0.000441,1.0,2048,-0.787653,-0.787687,-0.787613,1.1e-05,6
2,exp_name: hover-aviary-v0_2023-01-20,16384,0.000419,1.0,2048,-0.787652,-0.787686,-0.787614,1.1e-05,7
3,exp_name: hover-aviary-v0_2023-01-20,18432,0.000435,1.0,2048,-0.787651,-0.787687,-0.787618,1.1e-05,8
4,exp_name: hover-aviary-v0_2023-01-20,20480,0.000458,1.0,2048,-0.787649,-0.787691,-0.787616,1.1e-05,9
0,exp_name: hover-aviary-v0_2023-01-20,22528,0.000438,1.0,2048,-0.787647,-0.78768,-0.787605,1.1e-05,10
1,exp_name: hover-aviary-v0_2023-01-20,24576,0.000498,1.0,2048,-0.787645,-0.787682,-0.787609,1.1e-05,11
2,exp_name: hover-aviary-v0_2023-01-20,26624,0.000473,1.0,2048,-0.787643,-0.78768,-0.787604,1.1e-05,12
3,exp_name: hover-aviary-v0_2023-01-20,28672,0.000476,1.0,2048,-0.787641,-0.787675,-0.787603,1.1e-05,13
4,exp_name: hover-aviary-v0_2023-01-20,30720,0.000513,1.0,2048,-0.787638,-0.787675,-0.787603,1.1e-05,14
0,exp_name: hover-aviary-v0_2023-01-20,32768,0.000483,1.0,2048,-0.787635,-0.78767,-0.787598,1.1e-05,15
1,exp_name: hover-aviary-v0_2023-01-20,34816,0.000492,1.0,2048,-0.787632,-0.787667,-0.787593,1.1e-05,16
2,exp_name: hover-aviary-v0_2023-01-20,36864,0.000567,1.0,2048,-0.78763,-0.787665,-0.787595,1.1e-05,17
3,exp_name: hover-aviary-v0_2023-01-20,38912,0.000467,1.0,2048,-0.787628,-0.78767,-0.78758,1.1e-05,18
4,exp_name: hover-aviary-v0_2023-01-20,40960,0.000509,1.0,2048,-0.787625,-0.78766,-0.787586,1.1e-05,19
0,exp_name: hover-aviary-v0_2023-01-20,43008,0.000462,1.0,2048,-0.787622,-0.787656,-0.787579,1.1e-05,20
1,exp_name: hover-aviary-v0_2023-01-20,45056,0.000518,1.0,2048,-0.787618,-0.787656,-0.787574,1.1e-05,21
2,exp_name: hover-aviary-v0_2023-01-20,47104,0.000435,1.0,2048,-0.787615,-0.787658,-0.787573,1.1e-05,22
3,exp_name: hover-aviary-v0_2023-01-20,49152,0.000437,1.0,2048,-0.787613,-0.787652,-0.787569,1.2e-05,23
4,exp_name: hover-aviary-v0_2023-01-20,51200,0.00049,1.0,2048,-0.787609,-0.787652,-0.787574,1.2e-05,24
0,exp_name: hover-aviary-v0_2023-01-20,53248,0.000578,1.0,2048,-0.787606,-0.787655,-0.787566,1.2e-05,25
1,exp_name: hover-aviary-v0_2023-01-20,55296,0.000512,1.0,2048,-0.787602,-0.787641,-0.787563,1.2e-05,26
2,exp_name: hover-aviary-v0_2023-01-20,57344,0.000546,1.0,2048,-0.787599,-0.787636,-0.78756,1.2e-05,27
3,exp_name: hover-aviary-v0_2023-01-20,59392,0.000519,1.0,2048,-0.787596,-0.787635,-0.787556,1.1e-05,28
4,exp_name: hover-aviary-v0_2023-01-20,61440,0.000516,1.0,2048,-0.787593,-0.787636,-0.787556,1.2e-05,29
0,exp_name: hover-aviary-v0_2023-01-20,63488,0.00055,1.0,2048,-0.787589,-0.787627,-0.787543,1.2e-05,30
1,exp_name: hover-aviary-v0_2023-01-20,65536,0.000554,1.0,2048,-0.787587,-0.787629,-0.787548,1.2e-05,31
2,exp_name: hover-aviary-v0_2023-01-20,67584,0.000585,1.0,2048,-0.787583,-0.78762,-0.787538,1.2e-05,32
3,exp_name: hover-aviary-v0_2023-01-20,69632,0.000528,1.0,2048,-0.78758,-0.787621,-0.787529,1.2e-05,33
4,exp_name: hover-aviary-v0_2023-01-20,71680,0.000673,1.0,2048,-0.787576,-0.787614,-0.787537,1.2e-05,34
0,exp_name: hover-aviary-v0_2023-01-20,73728,0.000648,1.0,2048,-0.787573,-0.787621,-0.787534,1.2e-05,35
1,exp_name: hover-aviary-v0_2023-01-20,75776,0.000661,1.0,2048,-0.787569,-0.787609,-0.787525,1.2e-05,36
2,exp_name: hover-aviary-v0_2023-01-20,77824,0.000585,1.0,2048,-0.787566,-0.787612,-0.787523,1.2e-05,37
3,exp_name: hover-aviary-v0_2023-01-20,79872,0.000465,1.0,2048,-0.787563,-0.787607,-0.787512,1.3e-05,38
4,exp_name: hover-aviary-v0_2023-01-20,81920,0.000454,1.0,2048,-0.787559,-0.787612,-0.787515,1.2e-05,39
0,exp_name: hover-aviary-v0_2023-01-20,83968,0.000458,1.0,2048,-0.787556,-0.787599,-0.787513,1.2e-05,40
1,exp_name: hover-aviary-v0_2023-01-20,86016,0.000427,1.0,2048,-0.787552,-0.787595,-0.787505,1.3e-05,41
2,exp_name: hover-aviary-v0_2023-01-20,88064,0.000435,1.0,2048,-0.787549,-0.787586,-0.787501,1.2e-05,42
3,exp_name: hover-aviary-v0_2023-01-20,90112,0.00043,1.0,2048,-0.787546,-0.787586,-0.787498,1.3e-05,43
4,exp_name: hover-aviary-v0_2023-01-20,92160,0.000427,1.0,2048,-0.787542,-0.787581,-0.787493,1.3e-05,44
0,exp_name: hover-aviary-v0_2023-01-20,94208,0.00043,1.0,2048,-0.787538,-0.78758,-0.787493,1.3e-05,45
1,exp_name: hover-aviary-v0_2023-01-20,96256,0.00043,1.0,2048,-0.787535,-0.787573,-0.787491,1.2e-05,46
2,exp_name: hover-aviary-v0_2023-01-20,98304,0.000436,1.0,2048,-0.787532,-0.787571,-0.787483,1.2e-05,47
